
1.Authentication Bypass//CVE-2019-1937,Authentication Bypass//CVE-2019-1937
228.java,myVulnProject//77.java
229.php,myVulnProject//78.php
230.java,myVulnProject//79.java
231.c,myVulnProject//8.c
232.js,myVulnProject//80.js
233.js,myVulnProject//81.js
234.php,myVulnProject//82.php
235.py,myVulnProject//83.py
236.js,myVulnProject//84.js
237.js,myVulnProject//85.js
238.js,myVulnProject//86.js
239.js,myVulnProject//87.js
240.js,myVulnProject//88.js
241.asp,myVulnProject//89.asp
242.rb,myVulnProject//9.rb
243.cs,myVulnProject//91.cs
244.php,myVulnProject//92.php
245.java,myVulnProject//93.java
246.rb,myVulnProject//94.rb
247.js,myVulnProject//95.js
248.js,myVulnProject//96.js
249.js,myVulnProject//97.js
250.php,myVulnProject//98.php
251.js,myVulnProject//99.js
